dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,1,51,IDENTITY_RESIDUAL_CARRY,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.66344692266472749,0.47088371168923993,0.038940572866973541,0.59999999999999998,0.59999999999999998
openbmi,chronological,1,51,PAST_PROTOTYPE_DIRECT,0.55000000000000004,0.54995499549954996,0.55000000000000004,0.66965053380607276,0.47736612093358538,0.039917437587350682,0.54000000000000004,0.56000000000000005
openbmi,chronological,1,51,POPULATION_ONLY,0.56000000000000005,0.55841027699718992,0.56000000000000005,0.71243376180818885,0.51380978198085203,0.048001615681073043,0.62,0.5
openbmi,chronological,1,51,FULL_RIDGE_TRANSFER,0.54000000000000004,0.53833801686069849,0.54000000000000004,0.72675834183691945,0.52436347122726212,0.07813603826540523,0.59999999999999998,0.47999999999999998
openbmi,chronological,1,51,ENROLLMENT_PCA_TRANSFER,0.54000000000000004,0.53833801686069849,0.54000000000000004,0.72750038023667518,0.52631589187895977,0.074224275753711336,0.59999999999999998,0.47999999999999998
openbmi,chronological,1,51,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.56000000000000005,0.55841027699718992,0.56000000000000005,0.71243376180818885,0.51380978198085203,0.048001615681073043,0.62,0.5
openbmi,chronological,1,52,LRCM,0.68999999999999995,0.68996899689968993,0.68999999999999995,0.61488591736022824,0.42406753450391865,0.098794322830663611,0.69999999999999996,0.68000000000000005
openbmi,chronological,1,52,IDENTITY_RESIDUAL_CARRY,0.73999999999999999,0.73958333333333326,0.73999999999999999,0.58729062289905665,0.39767429156644751,0.14023562428096228,0.78000000000000003,0.69999999999999996
openbmi,chronological,1,52,PAST_PROTOTYPE_DIRECT,0.73999999999999999,0.73958333333333326,0.73999999999999999,0.59319072421050778,0.40284352147725883,0.15122557935410091,0.78000000000000003,0.69999999999999996
openbmi,chronological,1,52,POPULATION_ONLY,0.63,0.62996299629963004,0.63,0.61847960806347846,0.42768733350530153,0.13213871481694489,0.62,0.64000000000000001
openbmi,chronological,1,52,FULL_RIDGE_TRANSFER,0.68000000000000005,0.68000000000000005,0.68000000000000005,0.61539907658133652,0.42461633695518491,0.10609417512768683,0.68000000000000005,0.68000000000000005
openbmi,chronological,1,52,ENROLLMENT_PCA_TRANSFER,0.60999999999999999,0.60996099609960996,0.60999999999999999,0.62237182999489893,0.43144023411489579,0.1615711575954655,0.59999999999999998,0.62
