dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
openbmi,24,4,200,0.5220652173913044,0.50902754826430385,0.052019265928114899
openbmi,24,8,200,0.53619047619047611,0.52943982925266042,0.052347223146031352
openbmi,24,16,200,0.54529411764705882,0.54043089352301388,0.055385802064243823
openbmi,24,FULL_ORACLE,1,0.72999999999999998,0.72932330827067671,0
openbmi,25,1,200,0.50540816326530613,0.46917046230902998,0.055324645217020761
openbmi,25,2,200,0.50364583333333335,0.47879955113032563,0.045683548266489085
openbmi,25,4,200,0.5145108695652173,0.49681228082669376,0.054005668625042025
openbmi,25,8,200,0.51261904761904764,0.49819606245338727,0.05730663695141195
openbmi,25,16,200,0.5211029411764706,0.50808785640912202,0.067020149960842115
openbmi,25,FULL_ORACLE,1,0.63,0.62546816479400746,0
openbmi,26,1,200,0.51612244897959181,0.48593478556628561,0.066283009948102531
openbmi,26,2,200,0.52734375,0.50303806232944814,0.067406171700774342
openbmi,26,4,200,0.54956521739130437,0.53528150359243809,0.062575201027596533
openbmi,26,8,200,0.56494047619047616,0.55747564432115826,0.059789994675936278
openbmi,26,16,200,0.5894117647058823,0.58580069024308457,0.048926505338700542
openbmi,26,FULL_ORACLE,1,0.64000000000000001,0.64000000000000001,0
openbmi,27,1,200,0.50887755102040821,0.4727104782929788,0.060849963751580201
openbmi,27,2,200,0.52145833333333325,0.49305308704884704,0.057980056112046
openbmi,27,4,200,0.52891304347826085,0.50982861908366361,0.061799983549928848
openbmi,27,8,200,0.53976190476190467,0.52904818449655056,0.060566836705764265
openbmi,27,16,200,0.54823529411764704,0.53986352753210909,0.05627728888348342
openbmi,27,FULL_ORACLE,1,0.60000000000000009,0.59855479727017258,0
openbmi,28,1,200,0.59545918367346939,0.57036058941416357,0.078688163039735678
openbmi,28,2,200,0.65406249999999999,0.63872675751693653,0.088367309112552542
openbmi,28,4,200,0.70407608695652191,0.69736785703597803,0.088810511353577676
openbmi,28,8,200,0.74809523809523815,0.74599790112164188,0.085350922131007825
openbmi,28,16,200,0.80176470588235305,0.80079271562690113,0.079583189362718104
openbmi,28,FULL_ORACLE,1,0.93999999999999995,0.93999999999999995,0
openbmi,29,1,200,0.89443877551020412,0.88882490300001793,0.10538861347840026
openbmi,29,2,200,0.93239583333333342,0.93094170979757107,0.051009555157212297
openbmi,29,4,200,0.94750000000000001,0.94724369809557485,0.024803422986969085
openbmi,29,8,200,0.95464285714285713,0.95450046430712021,0.019552051780744862
openbmi,29,16,200,0.95404411764705888,0.9538975970909378,0.01887637953737821
openbmi,29,FULL_ORACLE,1,0.94999999999999996,0.94987468671679198,0
openbmi,30,1,200,0.50193877551020405,0.46561798306191732,0.035751112764811625
openbmi,30,2,200,0.4975,0.47373728623226385,0.037321018061784741
openbmi,30,4,200,0.4931521739130435,0.4782748438440565,0.042697128804660769
