dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_left_hand,recall_right_hand
openbmi,reverse,0,18,POPULATION_ONLY,0.91999999999999993,0.91996798719487793,0.92000000000000004,0.50117105859325395,0.31457530313328952,0.30773464334936029,,0.93999999999999995,0.90000000000000002
openbmi,reverse,0,18,IDENTITY_RESIDUAL_CARRY,0.90000000000000002,0.89995998399359745,0.90000000000000002,0.39576108877640964,0.23031532834224069,0.20013384928332473,,0.88,0.92000000000000004
openbmi,reverse,0,18,PAST_PROTOTYPE_DIRECT,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.37946108671391193,0.21666975676923581,0.19250102503547464,,0.90000000000000002,0.90000000000000002
openbmi,reverse,0,18,LRCM_HISTORICAL_CONTROL,0.91999999999999993,0.91996798719487793,0.92000000000000004,0.49712525578402406,0.31094213139615939,0.30503693276233101,,0.93999999999999995,0.90000000000000002
openbmi,reverse,0,31,SELECTIVE_GATE,0.68999999999999995,0.68996899689968993,0.68999999999999995,0.65350993174122385,0.46069934759757847,0.14328285559884896,0.2415849149585875,0.69999999999999996,0.68000000000000005
openbmi,reverse,0,31,GLOBAL_KAPPA,0.68999999999999995,0.68996899689968993,0.68999999999999995,0.65237258392634612,0.45958331983059558,0.14252421120991976,0.20000000000000001,0.68000000000000005,0.69999999999999996
openbmi,reverse,0,31,FIXED_RELIABILITY_KAPPA,0.68000000000000005,0.68000000000000005,0.68000000000000005,0.65336660830118087,0.46055840098530476,0.13320828916953442,0.23650088466837277,0.68000000000000005,0.68000000000000005
openbmi,reverse,0,31,CLASSWISE_SELECTIVE_GATE,0.68000000000000005,0.68000000000000005,0.68000000000000005,0.65336680305985129,0.46055904427119221,0.13320867979237538,0.23650088466837277,0.68000000000000005,0.68000000000000005
openbmi,reverse,0,31,ORACLE_CONTINUOUS_KAPPA,0.69999999999999996,0.69987995198079234,0.69999999999999996,0.65524222484978656,0.4624088576960485,0.15398828296260059,0.29999999999999999,0.71999999999999997,0.68000000000000005
openbmi,reverse,0,31,POPULATION_ONLY,0.66000000000000003,0.65986394557823125,0.66000000000000003,0.64801225817870711,0.45538276026244817,0.10605467984904274,,0.68000000000000005,0.64000000000000001
openbmi,reverse,0,31,IDENTITY_RESIDUAL_CARRY,0.55000000000000004,0.54959463517165452,0.55000000000000004,0.68817176564353355,0.49520922787975452,0.026965821933514111,,0.52000000000000002,0.57999999999999996
openbmi,reverse,0,31,PAST_PROTOTYPE_DIRECT,0.55000000000000004,0.54959463517165452,0.55000000000000004,0.68370086738483726,0.49078590225935903,0.036144052945228565,,0.52000000000000002,0.57999999999999996
openbmi,reverse,0,31,LRCM_HISTORICAL_CONTROL,0.67000000000000004,0.66996699669966997,0.67000000000000004,0.64905607989504266,0.45638609145150449,0.11761481964703956,,0.68000000000000005,0.66000000000000003
openbmi,reverse,0,37,SELECTIVE_GATE,0.91000000000000003,0.90999099909990999,0.91000000000000003,0.41110428207503524,0.23711624997990677,0.22738736358806652,0.23905894007700862,0.92000000000000004,0.90000000000000002
openbmi,reverse,0,37,GLOBAL_KAPPA,0.92000000000000004,0.92000000000000004,0.92000000000000004,0.42249615107198935,0.24636650330004151,0.24594057047801235,0.20000000000000001,0.92000000000000004,0.92000000000000004
openbmi,reverse,0,37,FIXED_RELIABILITY_KAPPA,0.92999999999999994,0.92999299929993007,0.93000000000000005,0.30245978648700061,0.16094702813644113,0.15621612520003614,0.73785345965387494,0.93999999999999995,0.92000000000000004
openbmi,reverse,0,37,CLASSWISE_SELECTIVE_GATE,0.91999999999999993,0.91996798719487793,0.92000000000000004,0.30341841930892899,0.16209370826533775,0.14616919234633227,0.73785345965387494,0.93999999999999995,0.90000000000000002
openbmi,reverse,0,37,ORACLE_CONTINUOUS_KAPPA,0.92999999999999994,0.92999299929993007,0.93000000000000005,0.31205139149618072,0.16665281113646355,0.1650291443626962,0.68000000000000005,0.93999999999999995,0.92000000000000004
openbmi,reverse,0,37,POPULATION_ONLY,0.90000000000000002,0.89995998399359745,0.90000000000000002,0.48882349029728867,0.30373357752697694,0.27242432978849856,,0.92000000000000004,0.88
openbmi,reverse,0,37,IDENTITY_RESIDUAL_CARRY,0.92000000000000004,0.92000000000000004,0.92000000000000004,0.266570008018927,0.14169237849638225,0.13106468089433337,,0.92000000000000004,0.92000000000000004
openbmi,reverse,0,37,PAST_PROTOTYPE_DIRECT,0.91000000000000003,0.90999099909990999,0.91000000000000003,0.26135837339418572,0.1388658243208121,0.14390870233436814,,0.90000000000000002,0.92000000000000004
openbmi,reverse,0,37,LRCM_HISTORICAL_CONTROL,0.90000000000000002,0.89995998399359745,0.90000000000000002,0.47785751291876538,0.29416695311235325,0.26436410431309071,,0.92000000000000004,0.88
