subject,feature,seed,mapping_accuracy,mapping_balanced_accuracy,mapping
4,F2-V,9,0.3142361111111111,0.3142361111111111,"2,0,1,3"
4,F2-V,10,0.3038194444444444,0.3038194444444444,"2,3,1,0"
4,F2-V,11,0.3072916666666667,0.3072916666666667,"0,3,2,1"
4,F2-V,12,0.3020833333333333,0.3020833333333333,"2,0,3,1"
4,F2-V,13,0.3038194444444444,0.3038194444444445,"3,2,1,0"
4,F2-V,14,0.3090277777777778,0.3090277777777778,"1,3,0,2"
4,F2-V,15,0.3125,0.3125,"1,2,3,0"
4,F2-V,16,0.3159722222222222,0.3159722222222222,"3,1,0,2"
4,F2-V,17,0.3003472222222222,0.3003472222222222,"1,3,2,0"
4,F2-V,18,0.3038194444444444,0.3038194444444445,"2,0,1,3"
4,F2-V,19,0.3055555555555556,0.3055555555555555,"2,3,0,1"
4,F3-G,0,0.25,0.2499999999999999,"0,3,2,1"
4,F3-G,1,0.25,0.2499999999999999,"0,2,1,3"
4,F3-G,2,0.25,0.2499999999999999,"1,0,2,3"
4,F3-G,3,0.25,0.2499999999999999,"0,1,2,3"
4,F3-G,4,0.25,0.2499999999999999,"2,0,1,3"
4,F3-G,5,0.25,0.2499999999999999,"3,2,0,1"
4,F3-G,6,0.25,0.2499999999999999,"2,0,3,1"
4,F3-G,7,0.25,0.2499999999999999,"2,1,0,3"
4,F3-G,8,0.25,0.2499999999999999,"3,0,2,1"
4,F3-G,9,0.25,0.2499999999999999,"2,3,1,0"
4,F3-G,10,0.25,0.2499999999999999,"2,3,1,0"
4,F3-G,11,0.25,0.2499999999999999,"2,0,3,1"
4,F3-G,12,0.25,0.2499999999999999,"0,2,1,3"
4,F3-G,13,0.25,0.2499999999999999,"0,3,2,1"
4,F3-G,14,0.25,0.2499999999999999,"0,1,3,2"
4,F3-G,15,0.25,0.2499999999999999,"0,2,3,1"
