subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
5,F1,8,0.22569444444444445,0.22569444444444445,"2,0,1,3"
5,F1,9,0.24305555555555555,0.24305555555555558,"2,3,0,1"
5,F1,10,0.23958333333333334,0.23958333333333334,"0,1,2,3"
5,F1,11,0.25,0.25,"3,2,0,1"
5,F1,12,0.23958333333333334,0.23958333333333334,"0,2,1,3"
5,F1,13,0.24131944444444445,0.24131944444444445,"2,3,0,1"
5,F1,14,0.2378472222222222,0.2378472222222222,"3,1,2,0"
5,F1,15,0.24305555555555555,0.24305555555555558,"0,3,1,2"
5,F1,16,0.24131944444444445,0.24131944444444445,"3,0,1,2"
5,F1,17,0.24305555555555555,0.24305555555555555,"3,2,1,0"
5,F1,18,0.24131944444444445,0.24131944444444445,"0,1,3,2"
5,F1,19,0.2378472222222222,0.2378472222222222,"3,0,2,1"
5,F2-S,0,0.296875,0.296875,"2,3,1,0"
5,F2-S,1,0.2864583333333333,0.2864583333333333,"1,2,3,0"
5,F2-S,2,0.2534722222222222,0.25347222222222227,"3,2,1,0"
5,F2-S,3,0.2586805555555556,0.2586805555555556,"2,1,0,3"
5,F2-S,4,0.2482638888888889,0.2482638888888889,"2,0,3,1"
5,F2-S,5,0.2951388888888889,0.2951388888888889,"1,0,2,3"
5,F2-S,6,0.2604166666666667,0.2604166666666667,"0,1,2,3"
5,F2-S,7,0.2586805555555556,0.2586805555555556,"0,3,1,2"
5,F2-S,8,0.3003472222222222,0.3003472222222222,"1,2,3,0"
5,F2-S,9,0.2517361111111111,0.25173611111111116,"2,0,1,3"
5,F2-S,10,0.2465277777777778,0.2465277777777778,"1,3,2,0"
5,F2-S,11,0.25,0.25,"3,0,2,1"
5,F2-S,12,0.2951388888888889,0.2951388888888889,"0,2,1,3"
5,F2-S,13,0.2569444444444444,0.2569444444444445,"1,2,3,0"
5,F2-S,14,0.2482638888888889,0.24826388888888892,"2,3,1,0"
5,F2-S,15,0.2482638888888889,0.2482638888888889,"0,1,2,3"
5,F2-S,16,0.25,0.25,"2,3,1,0"
5,F2-S,17,0.2517361111111111,0.2517361111111111,"0,2,3,1"
5,F2-S,18,0.3020833333333333,0.30208333333333337,"0,2,1,3"
5,F2-S,19,0.296875,0.296875,"2,3,0,1"
6,STATIC,0,0.2378472222222222,0.2378472222222222,"1,0,3,2"
6,STATIC,1,0.2881944444444444,0.2881944444444444,"1,0,3,2"
6,STATIC,2,0.3038194444444444,0.3038194444444444,"3,0,1,2"
6,STATIC,3,0.2881944444444444,0.2881944444444444,"0,1,3,2"
6,STATIC,4,0.2326388888888889,0.2326388888888889,"1,3,0,2"
6,STATIC,5,0.2378472222222222,0.2378472222222222,"2,0,1,3"
6,STATIC,6,0.25,0.25,"2,3,1,0"
6,STATIC,7,0.2326388888888889,0.2326388888888889,"2,0,3,1"
6,STATIC,8,0.234375,0.234375,"3,0,1,2"
6,STATIC,9,0.24479166666666666,0.24479166666666669,"0,2,3,1"
6,STATIC,10,0.23958333333333334,0.23958333333333334,"1,0,3,2"
6,STATIC,11,0.2465277777777778,0.2465277777777778,"2,0,3,1"
6,STATIC,12,0.2378472222222222,0.2378472222222222,"2,1,0,3"
6,STATIC,13,0.2517361111111111,0.2517361111111111,"1,3,2,0"
6,STATIC,14,0.2465277777777778,0.24652777777777776,"0,3,2,1"
6,STATIC,15,0.2986111111111111,0.29861111111111116,"3,1,0,2"
6,STATIC,16,0.2378472222222222,0.2378472222222222,"3,0,1,2"
6,STATIC,17,0.234375,0.234375,"0,1,3,2"
6,STATIC,18,0.23958333333333334,0.23958333333333331,"1,0,2,3"
6,STATIC,19,0.2326388888888889,0.2326388888888889,"3,0,1,2"
6,F1,0,0.2569444444444444,0.2569444444444444,"3,2,1,0"
6,F1,1,0.2569444444444444,0.2569444444444444,"1,3,0,2"
6,F1,2,0.2621527777777778,0.2621527777777778,"0,1,3,2"
6,F1,3,0.2604166666666667,0.26041666666666663,"2,3,1,0"
6,F1,4,0.2638888888888889,0.2638888888888889,"1,2,0,3"
6,F1,5,0.2604166666666667,0.26041666666666663,"2,0,1,3"
6,F1,6,0.2552083333333333,0.2552083333333333,"2,0,3,1"
6,F1,7,0.2638888888888889,0.2638888888888889,"3,0,1,2"
6,F1,8,0.2638888888888889,0.2638888888888889,"0,1,2,3"
6,F1,9,0.25,0.25,"2,1,0,3"
6,F1,10,0.2690972222222222,0.2690972222222222,"0,1,3,2"
6,F1,11,0.2673611111111111,0.2673611111111111,"1,2,3,0"
6,F1,12,0.2534722222222222,0.2534722222222222,"3,1,0,2"
6,F1,13,0.2673611111111111,0.2673611111111111,"3,2,1,0"
6,F1,14,0.2517361111111111,0.2517361111111111,"2,0,3,1"
6,F1,15,0.2621527777777778,0.2621527777777778,"1,0,3,2"
6,F1,16,0.2725694444444444,0.2725694444444444,"2,0,3,1"
6,F1,17,0.2586805555555556,0.2586805555555556,"1,3,2,0"
6,F1,18,0.2638888888888889,0.2638888888888889,"2,3,1,0"
6,F1,19,0.2586805555555556,0.2586805555555556,"3,0,2,1"
6,F2-S,0,0.265625,0.265625,"1,0,2,3"
6,F2-S,1,0.2690972222222222,0.2690972222222222,"1,0,3,2"
