mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F2-S,0.0,"0,1,3,2",1,4.825187109131386,18.057909716880943,"-1,1,-1,1","16,21,15,18"
zero,1,both,both,F2-S,0.0,"0,1,3,2",2,0.8778012077827523,40.73541446376096,"-1,1,-1,1","22,26,15,16"
zero,1,both,both,F2-S,0.0,"0,1,3,2",3,0.5209145622163551,40.942107849142346,"-1,1,-1,1","20,14,13,19"
zero,1,both,both,F2-S,0.0,"0,2,1,3",0,3.2492865688181785,29.455249191807454,"-1,1,-1,1","20,17,19,16"
zero,1,both,both,F2-S,0.0,"0,2,1,3",1,1.007475701429007,39.31666591216808,"-1,1,-1,1","19,14,17,21"
zero,1,both,both,F2-S,0.0,"0,2,1,3",2,4.313909614745053,22.34650273260099,"-1,1,-1,1","19,14,18,27"
zero,1,both,both,F2-S,0.0,"0,2,1,3",3,0.7457458006164934,40.1698714892299,"-1,1,-1,1","14,14,16,24"
zero,1,both,both,F2-S,0.0,"0,2,3,1",0,3.4717790703356726,16.65134167388653,"-1,1,-1,1","14,16,22,24"
zero,1,both,both,F2-S,0.0,"0,2,3,1",1,1.201275603808139,26.7114254863858,"-1,1,-1,1","21,28,20,17"
zero,1,both,both,F2-S,0.0,"0,2,3,1",2,0.8181892799691015,29.482921027131212,"-1,1,-1,1","16,25,18,26"
zero,1,both,both,F2-S,0.0,"0,2,3,1",3,1.8935883208585187,20.834003321683447,"-1,1,-1,1","15,14,30,24"
zero,1,both,both,F2-S,0.0,"0,3,1,2",0,3.3063849843586626,24.756955937119663,"-1,1,-1,1","24,24,30,20"
zero,1,both,both,F2-S,0.0,"0,3,1,2",1,0.9232929057901891,37.53513820536124,"-1,1,-1,1","20,17,24,20"
zero,1,both,both,F2-S,0.0,"0,3,1,2",2,4.386654607876204,18.19471740307669,"-1,1,-1,1","26,19,14,15"
zero,1,both,both,F2-S,0.0,"0,3,1,2",3,0.5418076591196275,37.62825806309014,"-1,1,-1,1","19,15,24,22"
zero,1,both,both,F2-S,0.0,"0,3,2,1",0,3.3881603869377446,15.400415737276786,"-1,1,-1,1","21,20,23,18"
