half,component,subject,J_s,T_J
A,ang,20,-0.1814618146366056,0.0764758672176515
A,ang,21,0.2921399496391315,0.0764758672176515
A,ang,22,1.4135146935369773,0.0764758672176515
A,ang,23,0.852063294361967,0.0764758672176515
A,ang,24,-0.09056720412037278,0.0764758672176515
A,ang,25,-0.09469878554934408,0.0764758672176515
A,ang,26,0.26587587360615483,0.0764758672176515
A,ang,27,-0.11049395044098909,0.0764758672176515
A,ang,28,-0.1343766392153365,0.0764758672176515
A,ang,29,-0.11438272086189716,0.0764758672176515
A,ang,30,0.2563924382236247,0.0764758672176515
A,ang,31,-0.8952362420389814,0.0764758672176515
A,ang,32,0.1339376246848244,0.0764758672176515
A,ang,33,0.8811663795916862,0.0764758672176515
A,ang,34,-0.07413546646285141,0.0764758672176515
A,ang,35,0.07847651930063604,0.0764758672176515
A,ang,36,0.24513538917263467,0.0764758672176515
A,ang,37,0.28240040034538993,0.0764758672176515
A,ang,38,0.6130038637839568,0.0764758672176515
A,ang,39,0.2330006817292397,0.0764758672176515
A,ang,40,0.11542976199722343,0.0764758672176515
A,ang,41,0.09796574941348457,0.0764758672176515
A,ang,42,0.0835250856401184,0.0764758672176515
A,ang,43,0.2742406830010513,0.0764758672176515
A,ang,44,-1.4986015788474605,0.0764758672176515
A,ang,45,0.7222420090116718,0.0764758672176515
A,ang,46,0.06678663040062172,0.0764758672176515
A,ang,47,0.8688305084470351,0.0764758672176515
A,ang,48,0.05438449848456817,0.0764758672176515
A,ang,49,-1.8321955294411476,0.0764758672176515
A,ang,50,0.42343721938035606,0.0764758672176515
A,ang,51,-0.3717045032917383,0.0764758672176515
A,ang,52,0.19274077249406085,0.0764758672176515
A,ang,53,-0.7789635971411915,0.0764758672176515
A,ang,54,0.17715811720020447,0.0764758672176515
A,ori,1,-0.09286045771837181,0.001204953051219268
A,ori,2,-0.06996279544284545,0.001204953051219268
A,ori,3,0.2313316444681509,0.001204953051219268
A,ori,4,-0.10652050936044988,0.001204953051219268
A,ori,5,0.20494420181415252,0.001204953051219268
A,ori,6,0.030948875437148304,0.001204953051219268
A,ori,7,-0.0859192362196124,0.001204953051219268
A,ori,8,-0.23933883745057694,0.001204953051219268
A,ori,9,-0.050191794422215885,0.001204953051219268
A,ori,10,-0.0014388623964833869,0.001204953051219268
A,ori,11,-0.08286101612757868,0.001204953051219268
A,ori,12,-0.041506458935484436,0.001204953051219268
A,ori,13,-0.432344963920131,0.001204953051219268
A,ori,14,-0.01793253895884528,0.001204953051219268
A,ori,15,0.3032822315069209,0.001204953051219268
A,ori,16,-0.002497701794813678,0.001204953051219268
A,ori,17,-0.1053867737735702,0.001204953051219268
A,ori,18,0.12796316635393234,0.001204953051219268
A,ori,19,0.17579488297053447,0.001204953051219268
A,ori,20,0.1565090427424325,0.001204953051219268
A,ori,21,0.03472581609609038,0.001204953051219268
A,ori,22,0.019650912630369666,0.001204953051219268
A,ori,23,0.1418351675434626,0.001204953051219268
A,ori,24,-0.10887334985490993,0.001204953051219268
A,ori,25,-0.1677648505327357,0.001204953051219268
A,ori,26,-0.1751867879422666,0.001204953051219268
A,ori,27,-0.03024992961775297,0.001204953051219268
A,ori,28,0.25346681365709145,0.001204953051219268
A,ori,29,0.14636539775970137,0.001204953051219268
A,ori,30,0.15384125270374294,0.001204953051219268
A,ori,31,-0.014048449836225885,0.001204953051219268
A,ori,32,0.5599722581311284,0.001204953051219268
A,ori,33,0.011362625459105491,0.001204953051219268
A,ori,34,-0.09967220963938406,0.001204953051219268
A,ori,35,0.0009400062986189006,0.001204953051219268
A,ori,36,0.04012973371568762,0.001204953051219268
A,ori,37,-0.42303788769687367,0.001204953051219268
A,ori,38,0.08117764702752894,0.001204953051219268
A,ori,39,-0.398625793369374,0.001204953051219268
A,ori,40,0.041357281878134144,0.001204953051219268
A,ori,41,-0.2321925101943716,0.001204953051219268
A,ori,42,0.10286069782236318,0.001204953051219268
A,ori,43,-0.3489517422008517,0.001204953051219268
A,ori,44,-0.022889758666035043,0.001204953051219268
A,ori,45,0.3325886475618971,0.001204953051219268
A,ori,46,0.1188626964625159,0.001204953051219268
A,ori,47,0.3805781562868471,0.001204953051219268
A,ori,48,-0.07003289167655424,0.001204953051219268
A,ori,49,-0.28575535024960574,0.001204953051219268
A,ori,50,0.16852069730253882,0.001204953051219268
A,ori,51,-0.1834403846049545,0.001204953051219268
A,ori,52,0.12565430434910874,0.001204953051219268
A,ori,53,0.05473217901087568,0.001204953051219268
