subject,session,class,state,half,trial_count,normalized_karcher_residual,warning_count
14,0,left_hand,2,A,25,7.260380228418183e-11,0
14,0,left_hand,2,B,25,6.885664160059227e-11,0
14,0,left_hand,3,full,50,6.640689325057971e-11,0
14,0,left_hand,3,A,25,7.151761645977333e-11,0
14,0,left_hand,3,B,25,6.272356642838183e-11,0
14,0,left_hand,4,full,50,6.829507482719727e-11,0
14,0,left_hand,4,A,25,7.07427697597756e-11,0
14,0,left_hand,4,B,25,6.883363672516655e-11,0
14,0,left_hand,5,full,50,7.323621535025366e-11,0
14,0,left_hand,5,A,25,7.63960862108024e-11,0
14,0,left_hand,5,B,25,7.0354703956694e-11,0
14,0,right_hand,1,full,50,7.520400882866836e-11,0
14,0,right_hand,1,A,25,7.71590411825776e-11,0
14,0,right_hand,1,B,25,7.441051794146093e-11,0
14,0,right_hand,2,full,50,6.617126333314717e-11,0
14,0,right_hand,2,A,25,7.123230905723201e-11,0
14,0,right_hand,2,B,25,6.005280734648231e-11,0
14,0,right_hand,3,full,50,7.021991256502132e-11,0
14,0,right_hand,3,A,25,7.064834372166283e-11,0
14,0,right_hand,3,B,25,7.170142300031506e-11,0
14,0,right_hand,4,full,50,7.640793986410137e-11,0
14,0,right_hand,4,A,25,7.583252732984788e-11,0
14,0,right_hand,4,B,25,7.857261222902089e-11,0
14,0,right_hand,5,full,50,7.164043767096013e-11,0
14,0,right_hand,5,A,25,7.56664417864549e-11,0
14,0,right_hand,5,B,25,7.06612281710068e-11,0
15,0,left_hand,1,full,50,8.789556964485891e-11,0
15,0,left_hand,1,A,25,4.258623069869341e-11,0
15,0,left_hand,1,B,25,8.44187829401259e-11,0
15,0,left_hand,2,full,50,5.7664393592276874e-11,0
15,0,left_hand,2,A,25,4.068726548200489e-11,0
15,0,left_hand,2,B,25,7.207983045297703e-11,0
15,0,left_hand,3,full,50,8.740775245915158e-11,0
15,0,left_hand,3,A,25,8.540169102419242e-11,0
15,0,left_hand,3,B,25,4.336053856705797e-11,0
15,0,left_hand,4,full,50,3.789652364410175e-11,0
15,0,left_hand,4,A,25,8.409848541910297e-11,0
15,0,left_hand,4,B,25,4.014538184036263e-11,0
15,0,left_hand,5,full,50,8.256182453871684e-11,0
15,0,left_hand,5,A,25,8.724944429977921e-11,0
15,0,left_hand,5,B,25,7.821068634750147e-11,0
15,0,right_hand,1,full,50,8.13173377932929e-11,0
15,0,right_hand,1,A,25,3.7308021373487795e-11,0
15,0,right_hand,1,B,25,8.017463724017794e-11,0
15,0,right_hand,2,full,50,8.190389852712948e-11,0
15,0,right_hand,2,A,25,8.180756197112042e-11,0
15,0,right_hand,2,B,25,8.291866773689087e-11,0
15,0,right_hand,3,full,50,8.162496212657602e-11,0
15,0,right_hand,3,A,25,8.020611083476002e-11,0
15,0,right_hand,3,B,25,8.34217358873345e-11,0
15,0,right_hand,4,full,50,8.049843720518975e-11,0
15,0,right_hand,4,A,25,8.396243876409725e-11,0
15,0,right_hand,4,B,25,7.909712514542792e-11,0
15,0,right_hand,5,full,50,8.318035775412924e-11,0
15,0,right_hand,5,A,25,8.474400389461579e-11,0
15,0,right_hand,5,B,25,8.30880302193359e-11,0
16,0,left_hand,1,full,50,7.262113624647556e-11,0
16,0,left_hand,1,A,25,5.797197717223032e-11,0
16,0,left_hand,1,B,25,7.407380599951463e-11,0
16,0,left_hand,2,full,50,7.042235490042247e-11,0
16,0,left_hand,2,A,25,5.913811053512521e-11,0
16,0,left_hand,2,B,25,7.32162600371312e-11,0
16,0,left_hand,3,full,50,6.441137589723292e-11,0
16,0,left_hand,3,A,25,7.003292777995582e-11,0
16,0,left_hand,3,B,25,5.6649203569629106e-11,0
16,0,left_hand,4,full,50,6.273007577723459e-11,0
16,0,left_hand,4,A,25,6.202238065691847e-11,0
16,0,left_hand,4,B,25,6.168108879805143e-11,0
16,0,left_hand,5,full,50,5.781876728637642e-11,0
16,0,left_hand,5,A,25,6.533451105547436e-11,0
16,0,left_hand,5,B,25,5.17098726774875e-11,0
16,0,right_hand,1,full,50,4.3129005236443734e-11,0
16,0,right_hand,1,A,25,4.227414318387146e-11,0
16,0,right_hand,1,B,25,4.750016225661676e-11,0
16,0,right_hand,2,full,50,4.508795686794809e-11,0
16,0,right_hand,2,A,25,4.9391605488159623e-11,0
16,0,right_hand,2,B,25,4.234592268916258e-11,0
16,0,right_hand,3,full,50,3.858523564316173e-11,0
16,0,right_hand,3,A,25,4.333339224951393e-11,0
16,0,right_hand,3,B,25,8.343875431664881e-11,0
16,0,right_hand,4,full,50,4.3501324468351977e-11,0
16,0,right_hand,4,A,25,5.3700930894484266e-11,0
16,0,right_hand,4,B,25,8.236117617791242e-11,0
16,0,right_hand,5,full,50,4.4043927765142024e-11,0
16,0,right_hand,5,A,25,5.035602420348193e-11,0
16,0,right_hand,5,B,25,3.7414052450957424e-11,0
17,0,left_hand,1,full,50,6.409858324658726e-11,0
17,0,left_hand,1,A,25,6.539953062475414e-11,0
17,0,left_hand,1,B,25,6.54525344827722e-11,0
17,0,left_hand,2,full,50,6.664631013697202e-11,0
17,0,left_hand,2,A,25,6.937069944821875e-11,0
17,0,left_hand,2,B,25,6.682531313054767e-11,0
17,0,left_hand,3,full,50,6.86154734688449e-11,0
17,0,left_hand,3,A,25,7.484224587657027e-11,0
17,0,left_hand,3,B,25,6.639442746926722e-11,0
